year,age_5group,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2020,75-79,1.6432441734093999,0.6866835848915835,3.8802461762026295,873.9762105000001,53186.0221775,286.3092409914143,427
2020,80+,6.62308811327184,3.1604111782567954,13.35635925936095,2319.3291117499994,35018.847282166666,98.05477778214764,217
2021,15-19,28.728155213730933,27.330923627891828,30.167164190127988,133682.50921041667,465336.2118655,3908.079065430021,5257
2021,20-24,15.151388547245853,14.692830557974649,15.62163722660592,622334.3357971667,4107440.9375521666,22898.058230007875,30603
2021,25-29,5.928637671716001,5.68054821661357,6.186851349216673,485219.02394525,8184325.823453584,33440.37122173821,45842
2021,30-34,4.801693333845902,4.608203321760866,5.002881553484297,556152.9289943334,11582433.327721167,45104.69390339029,62548
2021,35-39,4.138627177655572,3.9725182996731174,4.3113699702601105,463008.1405156667,11187481.274357,53109.466502986856,72008
2021,40-44,3.544556012145047,3.400398113072159,3.694591658659488,360587.44222408335,10172993.203903917,60718.97007770574,78285
2021,45-49,3.369065795317086,3.2242043756256034,3.5201989986160704,311589.4183391667,9248540.612423416,57118.924480840935,73506
2021,50-54,3.7786305910045863,3.6098277971583927,3.955003060307711,305953.0502049167,8096929.372595167,46908.99865724618,62435
2021,55-59,3.814677710245558,3.625910516956447,4.0128630482236165,291339.3646384167,7637325.7917944165,37672.159400403514,52148
2021,60-64,2.8174604044789784,2.6047771260217334,3.046966253043989,108197.0897755,3840234.61708625,21544.564254561094,30204
2021,65-69,2.080193119522602,1.777663147693789,2.4329335917923873,23679.63653866667,1138338.3742804166,7328.567627337452,9948
2021,70-74,2.0373503410255287,1.4324830255715917,2.890134605999173,4802.078017749999,235702.12354016668,1482.5155163943793,2399
2021,75-79,3.099662867784569,1.5624808654159095,6.0560979768601735,1314.99229425,42423.71994441667,250.04660796411073,362
2021,80+,11.768796700095354,6.670888993538905,19.930575499229825,3500.208674416667,29741.43205641667,92.02653869260487,196
2022,15-19,25.958018379693893,24.522690087919212,27.446807427733237,107737.45109958417,415044.97579007666,3451.2642604124253,4860
2022,20-24,13.608879865409932,13.166619897529758,14.06358914618266,519384.46471983416,3816511.497319982,22454.424413748337,29770
2022,25-29,5.229048267495037,4.989299644867101,5.4796529892411,391058.3523249158,7478576.068150378,31680.79324694171,43418
2022,30-34,3.969966103245216,3.7860814242318677,4.162395431083487,452183.94451537,11390121.042739786,41384.045475461935,57553
2022,35-39,3.328605439057228,3.1786915093256636,3.4853351196739766,378049.43440695,11357592.280869018,52605.54621699687,72473
2022,40-44,2.820066732978205,2.691389057938011,2.954709793548946,295986.0663512471,10495711.427320136,60759.96664051814,79166
2022,45-49,2.859631611211775,2.7282742992298084,2.9971184730868896,268945.9436989928,9404915.746648444,59082.97147674915,75697
2022,50-54,2.77977038920848,2.6373533404379352,2.9296465488347243,229828.48747240417,8267894.65650241,48633.20686041258,64118
2022,55-59,2.9189554469463,2.7502507001596945,3.0976791782081246,218846.76757653165,7497434.3238256965,36099.59683538194,51147
2022,60-64,2.448053120481252,2.2494280465317398,2.6637389049451645,100158.465133565,4091351.7887175297,21410.137241224063,30794
2022,65-69,1.8590008688596367,1.5716971020513992,2.1976507069929774,21064.9243462775,1133131.4954790375,7199.500918765758,10123
2022,70-74,1.6730832358635803,1.1353376379659068,2.459193194864726,3693.5277965249998,220761.74797236224,1491.1062048112888,2216
2022,75-79,1.3103687217807212,0.3611700903631131,4.63805530827585,534.6438988083333,40801.02721635334,153.4342701993117,381
2022,80+,4.496028069749686,1.6337454496397938,11.772791266499093,1015.0519059666666,22576.636315866665,75.35319672863174,146
2023,15-19,19.640151173409418,18.393526389237422,20.949576311919348,99391.92588233732,506064.9737610113,3710.3448797557126,5359
2023,20-24,10.375789207297577,9.99063821848582,10.774010933969683,393902.4958745783,3796361.780340872,23287.081469781304,30829
2023,25-29,3.772781410101595,3.56571685919823,3.991372709276228,269818.78571949917,7151720.611140135,30807.96295109754,41976
2023,30-34,3.3634208500438634,3.1892885156915183,3.546712344638028,365700.9420699617,10872886.81299554,39116.01093214349,54358
2023,35-39,2.5258538045581473,2.3945950222521226,2.6641111026232807,297109.9376374612,11762752.741322462,52112.916989575206,71423
2023,40-44,2.3475256368803947,2.2306267545678256,2.470395961209182,248362.6318585375,10579762.280619195,61306.31360018346,79561
2023,45-49,2.2509945102026356,2.134571545348032,2.3736133613746064,217185.97346648082,9648445.275280997,59205.06875117504,76083
2023,50-54,2.2449767502342186,2.118683805558971,2.3786149669802925,188297.60287151168,8387507.926390178,49946.37237297621,66238
2023,55-59,2.3378215783810536,2.18806220941665,2.4975693225798974,174265.77850595667,7454194.970115559,36657.235325704925,51175
2023,60-64,2.694164739833989,2.4899235958573325,2.9146584166286966,119632.367165505,4440425.093414169,22358.632152506987,32640
2023,65-69,1.9718272591393564,1.6783380412851128,2.315430016410929,22825.47448460167,1157579.8224112343,7359.368163264104,10466
2023,70-74,1.0486388023487738,0.6418514329103711,1.7088026252383277,2309.7988834666667,220266.3947102765,1480.4688288671493,2265
2023,75-79,1.6311652016169056,0.6662213726848789,3.938306179943972,597.7629081166667,36646.37447660908,273.02827997541834,398
2023,80+,5.163476558863766,1.6805345120752977,14.779777796367405,1140.5254159416668,22088.323689275,52.32275824422175,141
